epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,865.328,2.36667,3.64376,2.13601,0.16795,0.10185,0.04344,0.01389,2.7006,4.4899,2.41215,0.000474032,0.000474032,0.000474032
2,1857.67,2.33517,3.30537,2.18138,0.18281,0.12096,0.05852,0.01792,2.7652,3.56067,2.56852,0.000947788,0.000947788,0.000947788
3,2849.58,2.3547,3.2197,2.19628,0.16194,0.14646,0.05405,0.01836,2.6421,4.04427,2.40068,0.00141127,0.00141127,0.00141127
4,3816.24,2.29923,3.10926,2.15467,0.16391,0.14006,0.07741,0.02131,2.64635,3.42138,2.52918,0.00139438,0.00139438,0.00139438
5,4855.92,2.28781,3.05684,2.14296,0.15787,0.13905,0.06617,0.02318,2.59146,3.61824,2.41,0.00136785,0.00136785,0.00136785
6,5708.47,2.23196,2.98103,2.11594,0.1308,0.14894,0.07679,0.0261,2.51543,3.67679,2.30148,0.00133423,0.00133423,0.00133423
7,6457.29,2.20385,2.91127,2.06996,0.24782,0.18078,0.1164,0.04514,2.4357,3.07545,2.27307,0.00129391,0.00129391,0.00129391
8,7200.36,2.17094,2.89228,2.05178,0.21129,0.17863,0.10959,0.04304,2.42863,2.99387,2.23517,0.00124731,0.00124731,0.00124731
9,7919.38,2.16391,2.85032,2.04028,0.2144,0.19392,0.1186,0.04378,2.43877,3.02037,2.29681,0.00119496,0.00119496,0.00119496
10,8641.87,2.10861,2.77177,2.00832,0.19172,0.19564,0.11681,0.04085,2.46168,3.00076,2.32597,0.00113742,0.00113742,0.00113742
11,9365.08,2.12108,2.76335,1.99813,0.23765,0.20138,0.12861,0.04847,2.39904,3.21206,2.21566,0.00107532,0.00107532,0.00107532
12,16589.9,2.10355,2.71708,1.98829,0.27818,0.20611,0.15459,0.05472,2.38306,2.81122,2.18446,0.00100935,0.00100935,0.00100935
13,17305.1,2.07952,2.71064,1.97607,0.29578,0.21626,0.16745,0.06161,2.35265,2.86369,2.18255,0.00094023,0.00094023,0.00094023
14,18102.7,2.06461,2.63703,1.95967,0.28169,0.25095,0.17871,0.06336,2.35838,2.71783,2.19352,0.000868712,0.000868712,0.000868712
15,18821.6,2.04653,2.60758,1.94215,0.28242,0.23063,0.17156,0.0662,2.35348,2.72666,2.20419,0.000795584,0.000795584,0.000795584
16,19602.2,2.02609,2.608,1.93403,0.29466,0.24276,0.17837,0.06787,2.29236,2.74866,2.1027,0.000721645,0.000721645,0.000721645
17,20620.4,2.02923,2.55361,1.92634,0.32862,0.26662,0.2106,0.07698,2.27974,2.63779,2.15826,0.000647706,0.000647706,0.000647706
18,21499.4,1.99515,2.49796,1.90485,0.3165,0.27057,0.20779,0.08123,2.29539,2.63508,2.13847,0.000574578,0.000574578,0.000574578
19,22578.6,1.97775,2.48833,1.89128,0.36535,0.27464,0.23657,0.08983,2.26223,2.55248,2.12719,0.00050306,0.00050306,0.00050306
20,23607.3,1.96961,2.44604,1.87747,0.38779,0.29312,0.2549,0.09665,2.21772,2.47078,2.06728,0.000433938,0.000433938,0.000433938
21,24810.3,1.98543,2.42687,1.93981,0.39413,0.29303,0.24154,0.0986,2.18092,2.45008,2.02937,0.000367968,0.000367968,0.000367968
22,25542.4,1.96826,2.35281,1.93427,0.37892,0.29427,0.25114,0.09955,2.22367,2.41219,2.06047,0.000305872,0.000305872,0.000305872
23,26279.5,1.94504,2.30526,1.93176,0.37798,0.29346,0.26231,0.1003,2.20399,2.41122,2.07277,0.000248332,0.000248332,0.000248332
24,27051.4,1.93437,2.26495,1.91159,0.44574,0.29954,0.27734,0.10919,2.20512,2.3617,2.06132,0.000195978,0.000195978,0.000195978
