epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,94.9272,2.39645,3.41353,2.18084,0.11083,0.11341,0.04295,0.01307,2.82491,3.67532,2.58393,0.000474032,0.000474032,0.000474032
2,182.181,2.35312,3.13133,2.22077,0.09288,0.13675,0.05218,0.01598,2.75647,5.2583,2.66549,0.000950133,0.000950133,0.000950133
3,311.591,2.37019,3.16611,2.25266,0.10638,0.09373,0.04665,0.01745,2.81892,3.98368,2.58957,0.00142531,0.00142531,0.00142531
4,404.532,2.34814,3.12834,2.2301,0.1329,0.10776,0.05722,0.01958,2.70131,4.16734,2.59777,0.00142586,0.00142586,0.00142586
5,489.842,2.28051,3.05132,2.19227,0.19088,0.13937,0.0732,0.02422,2.60048,3.2039,2.47399,0.00142342,0.00142342,0.00142342
6,588.219,2.24698,2.97782,2.15571,0.16635,0.16982,0.07219,0.02108,2.5542,3.47938,2.46082,0.00142029,0.00142029,0.00142029
7,674.573,2.21622,2.91692,2.13839,0.19911,0.16607,0.09962,0.03368,2.48347,3.20902,2.35721,0.00141647,0.00141647,0.00141647
8,760.705,2.19798,2.89249,2.10011,0.22974,0.19018,0.11683,0.03838,2.49013,2.97132,2.35288,0.00141196,0.00141196,0.00141196
9,847.251,2.16139,2.81324,2.07791,0.22259,0.22071,0.11288,0.03798,2.50004,3.19599,2.37032,0.00140678,0.00140678,0.00140678
10,934.615,2.16149,2.7966,2.05032,0.24856,0.18575,0.11998,0.0428,2.43825,2.96036,2.27167,0.00140091,0.00140091,0.00140091
11,1020.95,2.14867,2.78108,2.0618,0.28317,0.2352,0.16473,0.05929,2.42526,2.80502,2.28393,0.00139438,0.00139438,0.00139438
12,1107.5,2.11939,2.72768,2.03367,0.24017,0.24342,0.14653,0.04982,2.41126,2.8228,2.26486,0.00138718,0.00138718,0.00138718
13,1194,2.11613,2.72808,2.02552,0.2441,0.20397,0.12603,0.04251,2.4764,3.04952,2.36047,0.00137933,0.00137933,0.00137933
14,1281.95,2.088,2.66679,2.00302,0.25509,0.22356,0.14745,0.05047,2.4102,2.95688,2.26488,0.00137082,0.00137082,0.00137082
15,1368.94,2.08218,2.64186,1.986,0.26604,0.22217,0.15254,0.05052,2.39942,2.74908,2.27095,0.00136168,0.00136168,0.00136168
16,1458.11,2.07397,2.6157,1.97958,0.28417,0.24268,0.17445,0.05913,2.35265,2.86159,2.24854,0.0013519,0.0013519,0.0013519
17,1546.82,2.06161,2.60992,1.99435,0.27867,0.25121,0.17887,0.05924,2.35888,2.74618,2.25318,0.0013415,0.0013415,0.0013415
18,1660.08,2.03894,2.56624,1.96429,0.32484,0.23688,0.18851,0.06501,2.33817,2.89347,2.19729,0.0013305,0.0013305,0.0013305
19,1746.09,2.02186,2.5348,1.94183,0.29655,0.26125,0.18618,0.06123,2.35482,2.9478,2.22567,0.00131888,0.00131888,0.00131888
20,1834.02,2.02147,2.5416,1.95857,0.30475,0.26649,0.19525,0.07096,2.28326,2.69248,2.1804,0.00130668,0.00130668,0.00130668
21,1922.88,2.01832,2.53937,1.94441,0.3399,0.26286,0.20278,0.07115,2.34517,2.58781,2.25196,0.00129391,0.00129391,0.00129391
22,2017.66,2.01651,2.50625,1.95632,0.32465,0.27191,0.21266,0.07789,2.2971,2.59141,2.15025,0.00128057,0.00128057,0.00128057
